Year,Season,SeasonName,IceOut,IceOn,IceDuration,temp,pCO2,pCO2_min_1,chla,Chla_min_1,Chla_min_3
1998,1,Winter,108,315,155,3.38125,1269.136394,1018.777168,11.5,25.36363636,40
1998,2,Spring,108,315,155,8.045454545,1788.310199,1269.136394,22,11.5,49.38461538
1998,3,Summer,108,315,155,20.05333333,837.6821427,1788.310199,43,22,25.36363636
1998,4,Fall,108,315,155,10.39,653.6029954,837.6821427,41.9,43,11.5
1999,1,Winter,108,327,158,3.8,1402.702898,653.6029954,12.30769231,41.9,22
1999,2,Spring,108,327,158,9.808333333,1599.888757,1402.702898,26.54545455,12.30769231,43
1999,3,Summer,108,327,158,19.725,406.8409166,1599.888757,63.91666667,26.54545455,41.9
1999,4,Fall,108,327,158,8.790909091,422.5826656,406.8409166,38.41666667,63.91666667,12.30769231
2000,1,Winter,95,313,133,3.107692308,1723.49018,422.5826656,13.38461538,38.41666667,26.54545455
2000,2,Spring,95,313,133,7.2,1605.558965,1723.49018,19,13.38461538,63.91666667
2000,3,Summer,95,313,133,19.06666667,646.2223585,1605.558965,44.53333333,19,38.41666667
2000,4,Fall,95,313,133,9.69,884.5360693,646.2223585,19.875,44.53333333,13.38461538
2001,1,Winter,118,330,170,2.846153846,2464.727311,884.5360693,8.1,19.875,19
2001,2,Spring,118,330,170,8.066666667,2598.273254,2464.727311,18.7,8.1,44.53333333
2001,3,Summer,118,330,170,20.07692308,776.0588319,2598.273254,41.69230769,18.7,19.875
2001,4,Fall,118,330,170,8.715384615,750.7054221,776.0588319,28.07692308,41.69230769,8.1
2002,1,Winter,113,303,148,2.75,1123.903777,750.7054221,13.38461538,28.07692308,18.7
2002,2,Spring,113,303,148,7.046666667,1084.070745,1123.903777,11,13.38461538,41.69230769
2002,3,Summer,113,303,148,19.04545455,856.8987814,1084.070745,37.91666667,11,28.07692308
2002,4,Fall,113,303,148,10.57777778,587.0614324,856.8987814,35.44444444,37.91666667,13.38461538
2003,1,Winter,111,308,173,3.6,2111.151658,587.0614324,4,35.44444444,11
2003,2,Spring,111,308,173,7.563636364,1405.984193,2111.151658,21.11111111,4,37.91666667
2003,3,Summer,111,308,173,20.74166667,944.4944589,1405.984193,67.33333333,21.11111111,35.44444444
2003,4,Fall,111,308,173,12.48888889,1717.599963,944.4944589,28.5,67.33333333,4
2004,1,Winter,110,327,167,3.746666667,2116.069874,1717.599963,11.5,28.5,21.11111111
2004,2,Spring,110,327,167,7.830769231,2293.526271,2116.069874,6.5,11.5,67.33333333
2004,3,Summer,110,327,167,18.89230769,956.3871797,2293.526271,48.33333333,6.5,28.5
2004,4,Fall,110,327,167,8.425,915.9540121,956.3871797,8,48.33333333,11.5
2005,1,Winter,104,320,142,3.746666667,1590.973846,915.9540121,7,8,6.5
2005,2,Spring,104,320,142,8.814285714,1642.4464,1590.973846,6.8,7,48.33333333
2005,3,Summer,104,320,142,20.08333333,427.5295592,1642.4464,84.5,6.8,8
2005,4,Fall,104,320,142,10.07,736.8119147,427.5295592,49,84.5,7
2006,1,Winter,104,323,149,4.36,1707.92586,736.8119147,13.75,49,6.8
2006,2,Spring,104,323,149,9.458333333,1642.498403,1707.92586,13.5,13.75,84.5
2006,3,Summer,104,323,149,20.4,630.9379763,1642.498403,48.8,13.5,49
2006,4,Fall,104,323,149,8.283333333,528.770953,630.9379763,22.66666667,48.8,13.75
2007,1,Winter,110,331,152,4.5375,1195.098657,528.770953,14.66666667,22.66666667,13.5
2007,2,Spring,110,331,152,10.25714286,1312.65793,1195.098657,11.5,14.66666667,48.8
2007,3,Summer,110,331,152,19.44,913.1666906,1312.65793,32.33333333,11.5,22.66666667
2007,4,Fall,110,331,152,8.715384615,793.6246775,913.1666906,26.33333333,32.33333333,14.66666667
2008,1,Winter,110,324,144,2.833333333,1757.55409,793.6246775,20.66666667,26.33333333,11.5
2008,2,Spring,110,324,144,7.692307692,1962.893805,1757.55409,17,20.66666667,32.33333333
2008,3,Summer,110,324,144,19.80833333,744.0883653,1962.893805,16.33333333,17,26.33333333
2008,4,Fall,110,324,144,9.05,742.2358836,744.0883653,15.66666667,16.33333333,20.66666667
2009,1,Winter,121,327,162,3.2,1635.01661,742.2358836,11,15.66666667,17
2009,2,Spring,121,327,162,7.578571429,1614.57412,1635.01661,16.6,11,16.33333333
2009,3,Summer,121,327,162,19.1,529.6331642,1614.57412,14.54,16.6,15.66666667
2009,4,Fall,121,327,162,8.266666667,556.6624319,529.6331642,15.16666667,14.54,11
2010,1,Winter,99,323,137,2.98125,1969.949937,556.6624319,6.5,15.16666667,16.6
2010,2,Spring,99,323,137,8,1504.128496,1969.949937,12,6.5,14.54
2010,3,Summer,99,323,137,20.13846154,447.6891915,1504.128496,33,12,15.16666667
2010,4,Fall,99,323,137,9.316666667,622.0243553,447.6891915,16.66666667,33,6.5
2011,1,Winter,118,320,160,2.811764706,2042.551172,622.0243553,11.5,16.66666667,12
2011,2,Spring,118,320,160,6.9,2289.502673,2042.551172,28.75,11.5,33
2011,3,Summer,118,320,160,19.88571429,593.3806583,2289.502673,24.4,28.75,16.66666667
2011,4,Fall,118,320,160,10.5,980.1272819,593.3806583,14.66666667,24.4,11.5
2012,1,Winter,95,314,140,3.241176471,879.4690283,980.1272819,20.5,14.66666667,28.75
2012,3,Summer,95,314,140,14.59615385,661.1716715,879.4690283,51.28571429,20.5,24.4
2012,4,Fall,95,314,140,10.04,327.6142321,661.1716715,71,51.28571429,14.66666667
2013,1,Winter,132,310,183,2.810526316,2051.892632,327.6142321,13,71,20.5
2013,2,Spring,132,310,183,8.19,2551.874918,2051.892632,13.2,13,51.28571429
2013,3,Summer,132,310,183,20.85,569.0075434,2551.874918,53.2,13.2,71
2013,4,Fall,132,310,183,9.7,393.0938271,569.0075434,33.25,53.2,13
2014,1,Winter,125,316,180,3.387142857,1829.495225,393.0938271,6.75,33.25,13.2
2014,2,Spring,125,316,180,6.753846154,1886.315185,1829.495225,13.627,6.75,53.2
2014,3,Summer,125,316,180,20,544.4652529,1886.315185,41.54545455,13.627,33.25
2014,4,Fall,125,316,180,10.63,562.6067807,544.4652529,14,41.54545455,6.75
